Petition,URL,State,Signatures Count
Guarantee equal or better funding for scientific research in the UK after Brexit,https://petition.parliament.uk/petitions/200891,closed,251
Ban the use of ethylene glycol in antifreeze,https://petition.parliament.uk/petitions/200892,closed,39
To condemn the repression of democracy and freedom of speech in Catalonia,https://petition.parliament.uk/petitions/200914,closed,5223
No cash transaction after 2025-30,https://petition.parliament.uk/petitions/200922,closed,15
To be able to get a vehicle privately removed if it is deemed an obstruction,https://petition.parliament.uk/petitions/200928,closed,23
Rule out UK government joining the US in future involvement against North Korea.,https://petition.parliament.uk/petitions/200930,closed,2625
UK Government Please Help Igbo ethnic group Nigeria. ,https://petition.parliament.uk/petitions/200931,closed,304
Get rid of all school uniforms,https://petition.parliament.uk/petitions/200934,closed,84
Introduce the British Empire as a mandatory part of the Key Stage 3 curriculum,https://petition.parliament.uk/petitions/200940,closed,1801
Require the prominent labelling of palm oil on all products sold in the UK,https://petition.parliament.uk/petitions/200941,closed,53
End free movement of pets to UK to prevent parasite blinding people and pets.,https://petition.parliament.uk/petitions/200945,closed,33
Help Assist in Rejuvenating the Sacred Holy Yamuna River,https://petition.parliament.uk/petitions/200950,closed,301
Make it illegal to spit in the street/road. You should be fined if you do so.,https://petition.parliament.uk/petitions/200951,closed,72
House of Commons vote on whether Brexit should be cancelled.,https://petition.parliament.uk/petitions/200952,closed,14531
Emotional Assistance Pet Act Urgently Needed,https://petition.parliament.uk/petitions/200958,closed,457
Union Jack to appear on British number plates after March 2019.,https://petition.parliament.uk/petitions/200968,closed,11795
Amend building regulations to ban use of wooden/ laminate flooring in flats.,https://petition.parliament.uk/petitions/200970,closed,24
Introduce Voluntary Coalition (Normalised Politics) to Northern Ireland.,https://petition.parliament.uk/petitions/200971,closed,139
Ban prostitute review sites,https://petition.parliament.uk/petitions/200975,closed,83
Change the universal credit system to stop people suffering,https://petition.parliament.uk/petitions/200980,closed,94
Abolish tuition fees,https://petition.parliament.uk/petitions/200986,closed,132
Make the provision of seat belts on ALL school transport compulsory,https://petition.parliament.uk/petitions/200991,closed,82
To reopen Weston-Super-Mare's A&E between 10pm and 8am,https://petition.parliament.uk/petitions/200993,closed,80
Stop plans to exempt vehicles more than 40 years old from roadworthiness tests,https://petition.parliament.uk/petitions/200995,closed,1759
"Legislate that cyclists & bicycles are tested, taxed, insured and registered.",https://petition.parliament.uk/petitions/200996,closed,140
Make Bullying a Criminal Offence,https://petition.parliament.uk/petitions/201003,closed,13016
Stop the proposed Warrington Western Link,https://petition.parliament.uk/petitions/201008,closed,1516
Require schools to teach year five and above about LGBT and how it’s positive.,https://petition.parliament.uk/petitions/201018,closed,102
Change the Postal Voting rules to prevent voter fraud,https://petition.parliament.uk/petitions/201022,closed,155
Driving licence: Introduce mandatory re-training/re-examination every 5-10y,https://petition.parliament.uk/petitions/201025,closed,24
Make ear piercing in under 10s illegal.,https://petition.parliament.uk/petitions/201035,closed,82
Raise basic salaries for 999 emergency call handlers,https://petition.parliament.uk/petitions/201038,closed,16
Ban 15 minute Home Care visits.Increase to minimum 30 minutes.,https://petition.parliament.uk/petitions/201041,closed,122
Ban the use of Electric Shock Collars (Also known as E-collars) on Dogs,https://petition.parliament.uk/petitions/201048,closed,887
Begin review of road traffic offences and sentencing announced in May 2014.,https://petition.parliament.uk/petitions/201068,closed,15
Make it law that all cats injured/ killed by a vehicle are checked for a chip.,https://petition.parliament.uk/petitions/201097,closed,22809
Abolish universal credit return to old system!,https://petition.parliament.uk/petitions/201103,closed,201
Smear tests for women every year to prevent cervical cancer.,https://petition.parliament.uk/petitions/201119,closed,455
Ban animal testing (vivisection) in the UK completely,https://petition.parliament.uk/petitions/201121,closed,2471
Set the National living wage for all who work not just 25,https://petition.parliament.uk/petitions/201127,closed,62
Expedite legislation guaranteeing the right to vote for UK citizens for life.,https://petition.parliament.uk/petitions/201143,closed,192
"We must leave the EU completely in March 2019 - No transition period, No delay",https://petition.parliament.uk/petitions/201145,closed,36305
Repeal the Resale Prices Act to reflect & protect high street retailing in 2017,https://petition.parliament.uk/petitions/201148,closed,146
Zero Rate all School Uniform for VAT regardless of size.,https://petition.parliament.uk/petitions/201150,closed,19
Make Eid a national holiday,https://petition.parliament.uk/petitions/201158,closed,115
Abolish the role of the Mayor of Cambridgeshire & Peterborough,https://petition.parliament.uk/petitions/201174,closed,109
Save Local Remembrance Sunday Parades,https://petition.parliament.uk/petitions/201183,closed,14329
"Prevent the media from naming alleged sex offenders, unless they are convicted",https://petition.parliament.uk/petitions/201195,closed,126
Stop ISP's from adding new customers in over utilised broadband areas.,https://petition.parliament.uk/petitions/201208,closed,24
Increase pedestrian crossing times to enable disabled people to cross safely,https://petition.parliament.uk/petitions/201210,closed,23
Bus passes for Over Sixties in England,https://petition.parliament.uk/petitions/201217,closed,10754
Allow recovery agents to have a different colour beacons while working,https://petition.parliament.uk/petitions/201224,closed,108
